Pokémon,Gen,Category,Form Of,Shiny Exists?,RNG Shiny Hunt Possible?,Currently Huntable?,Bucket(A-E),Games / Platforms,Hunting Methods,Odds,Shiny Charm?,Pokémon GO Method,HOME Guaranteed Shiny?,Event-Only Shiny?,Notable Forms,Notes
Landorus,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black2/White2, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Roaming (soft-reset) | Black2/White2: Static | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/4096->1/1365 | Black2/White2 1/8192->~1/2731 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes; n/a (GO has no Shiny Charm),Legendary raids (Incarnate + Therian shiny); ~1/20,No,No,This row is the Incarnate Forme. Therian Forme — see its own row (separate GO shiny),Forces of Nature.
Reshiram,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black/White/B2W2, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Black/White/B2W2: Story static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Black/White/B2W2 1/8192->~1/2731 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (Gen5 charm); n/a (GO has no Shiny Charm),Legendary raids; ~1/20; rotates,No,No,—,"Tao trio. Huntable via DA, USUM, GO, and Gen5 originals."
Zekrom,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black/White/B2W2, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Black/White/B2W2: Story static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Black/White/B2W2 1/8192->~1/2731 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes; n/a (GO has no Shiny Charm),Legendary raids; ~1/20; rotates,No,No,—,Tao trio.
Kyurem,V,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Black/White/B2W2, Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Black/White/B2W2: Giant Chasm static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Black/White/B2W2 1/8192->~1/2731 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes; n/a (GO has no Shiny Charm),Legendary raids; ~1/20; rotates,No,No,Black Kyurem & White Kyurem — fusion formes (with Zekrom/Reshiram); shiny via the base Kyurem,Tao trio. Fused formes via GO fusion events.
Keldeo,V,Mythical,—,Yes,No,No,B (guaranteed reward),"Main series, Pokémon GO, Pokémon HOME",Pokémon HOME: Shiny Keldeo dex-completion Mystery Gift (guaranteed shiny) | Pokémon GO: Masterwork Research 'Pony Tales' (Final Justice) (guaranteed shiny reward) | Main series: Distribution [LOCKED],Pokémon HOME 100% (guaranteed) | Pokémon GO 100% (guaranteed),n/a,Shiny via 'Pony Tales' Masterwork (guaranteed). Not RNG.,Yes,Yes,"Ordinary & Resolute — shiny is guaranteed (HOME/GO Masterwork), applies to both",First legit shiny Keldeo was the HOME dex reward (Feb 2025). Guaranteed only — never RNG-huntable.
Meloetta,V,Mythical,—,Yes,No,No,B (guaranteed reward),"Main series, Pokémon GO, Pokémon HOME",Pokémon HOME: Shiny Meloetta dex-completion Mystery Gift (guaranteed shiny) | Pokémon GO: Masterwork Research 'A Dazzling Aria' (GO Tour Unova) (guaranteed shiny reward) | Main series: Distribution [LOCKED],Pokémon HOME 100% (guaranteed) | Pokémon GO 100% (guaranteed),n/a,Shiny (Aria) via Masterwork (guaranteed). Not RNG.,Yes,Yes,"Aria & Pirouette — shiny is guaranteed (HOME/GO), applies to both",Guaranteed only (HOME reward + GO Masterwork). Never RNG-huntable.
Genesect,V,Mythical,—,Yes,Yes,Yes,"A (true hunt, current)","Main series, Pokémon GO",Main series: Distribution [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Pokémon GO ~1/20,n/a (GO has no Shiny Charm),5-star raids (shiny since May 2023) — RNG; ~1/20,No,No,Normal/Shock/Burn/Chill/Douse Drives — shiny in GO raids; Drives are held-item variants (separate raid dates),Mythical that IS a true RNG hunt (GO raids). Different Drives rotate.
Xerneas,VI,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon, X/Y",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | X/Y: Story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); n/a (GO has no Shiny Charm),Legendary raids (shiny since Oct 2022); ~1/20; rotates,No,No,—,"Story catch locked; huntable via DA, USUM, GO."
Yveltal,VI,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon, X/Y",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | X/Y: Story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Ultra Sun/Ultra Moon 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); n/a (GO has no Shiny Charm),Legendary raids (shiny since Sep 2022); ~1/20; rotates,No,No,—,"Story catch locked; huntable via DA, USUM, GO."
Zygarde,VI,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Sword/Shield (Crown Tundra), X/Y, USUM, SV, Legends Z-A","Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | X/Y, USUM, SV, Legends Z-A: Story static / cell assembly [LOCKED]",Sword/Shield (Crown Tundra) 1/300->1/100,Yes (1/300 -> 1/100; applies to boss),In GO (Routes/cells); shiny NOT released.,No,No,10% / 50% / Complete Forme — all shiny-unavailable,"Correction: shiny Zygarde IS huntable — Sword/Shield Dynamax Adventures (Max Lair) is the only game where you can catch it, 1/300 (1/100 with Shiny Charm). Every story/static/cell-assembly encounter is shiny-locked; no guaranteed shiny Zygarde has ever been officially distributed."
Diancie,VI,Mythical,—,Yes,No,No,B (guaranteed reward),"Pokémon GO, XY/ORAS",XY/ORAS: Event distribution (guaranteed shiny) [LOCKED] | Pokémon GO: Masterwork 'Sparkle and Shine' (GO Tour Kalos) (guaranteed shiny reward),Pokémon GO 100% (guaranteed),n/a,"Shiny via 'Sparkle and Shine' Masterwork (guaranteed, Feb 2026). Not RNG.",No,Yes,—,Guaranteed/event only. GO shiny debuted Feb 2026 (newest guaranteed Mythical shiny).
Hoopa,VI,Mythical,—,No,No,No,D (shiny unavailable),Main series / GO,Main series / GO: Distribution / research [LOCKED],n/a,n/a,In GO (research); shiny NOT released.,No,No,Confined & Unbound — both shiny-unavailable,No legitimate shiny Hoopa as of Aug 2026. SHINY UNAVAILABLE.
Volcanion,VI,Mythical,—,Yes,No,No,B (guaranteed reward),"Main series, Pokémon HOME",Pokémon HOME: Shiny Volcanion dex-completion Mystery Gift (guaranteed shiny) | Main series: Distribution [LOCKED],Pokémon HOME 100% (guaranteed),n/a,In GO (GO Fest research); shiny NOT released in GO.,Yes,Yes,—,First-ever legit shiny Volcanion is the HOME dex reward (Apr 2026). Guaranteed only.
Type: Null,VII,Legendary,—,No,No,No,D (shiny unavailable),Sun/Moon/USUM/SwSh,Sun/Moon/USUM/SwSh: Gift (Aether / Battle Tower) [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,"Officially 'Synthetic Pokémon'; Bulbapedia counts it as Legendary. No legit shiny Type: Null: the gift is shiny-locked everywhere, and the 2017 event distributed the already-evolved Shiny SILVALLY (you cannot devolve it). So shiny Silvally exists, but shiny Type: Null does not."
Silvally,VII,Legendary,—,Yes,No,No,C (event distribution only),"Event (GameStop/GAME/EB Games), Sun/Moon/USUM/SwSh",Event (GameStop/GAME/EB Games): Serial-code guaranteed shiny | Sun/Moon/USUM/SwSh: Evolves from Type: Null gift [LOCKED],n/a,n/a,Not in Pokémon GO.,No,Yes,—,Correction: a legit shiny Silvally EXISTS via the official 2017 GameStop/GAME/EB event distribution (already evolved) — but it is NOT RNG-huntable. The in-game Type: Null gift is shiny-locked everywhere.
Tapu Koko,VII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sun/Moon/USUM, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Sun/Moon/USUM: Ruins guardian static — respawn (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Sun/Moon/USUM 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (first story encounter is locked; the RESPAWN is huntable); n/a (GO has no Shiny Charm),Legendary raids (shiny since Jan 25 2023); ~1/20; rotates,No,No,—,Guardian deities. First story encounter shiny-locked; defeat it and the respawn is huntable.
Tapu Lele,VII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sun/Moon/USUM, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Sun/Moon/USUM: Ruins guardian static — respawn (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Sun/Moon/USUM 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (first story encounter is locked; the RESPAWN is huntable); n/a (GO has no Shiny Charm),Legendary raids (shiny since Feb 8 2023); ~1/20; rotates,No,No,—,Guardian deities. First story encounter shiny-locked; defeat it and the respawn is huntable.
Tapu Bulu,VII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sun/Moon/USUM, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Sun/Moon/USUM: Ruins guardian static — respawn (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Sun/Moon/USUM 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (first story encounter is locked; the RESPAWN is huntable); n/a (GO has no Shiny Charm),Legendary raids (shiny since Apr 17 2023); ~1/20; rotates,No,No,—,Guardian deities. First story encounter shiny-locked; defeat it and the respawn is huntable.
Tapu Fini,VII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sun/Moon/USUM, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Sun/Moon/USUM: Ruins guardian static — respawn (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Sun/Moon/USUM 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); Yes (first story encounter is locked; the RESPAWN is huntable); n/a (GO has no Shiny Charm),Legendary raids (shiny since May 9 2023); ~1/20; rotates,No,No,—,Guardian deities. First story encounter shiny-locked; defeat it and the respawn is huntable.
Cosmog,VII,Legendary,—,No,No,No,D (shiny unavailable),Sun/Moon/USUM/GO,Sun/Moon/USUM/GO: Gift / research [LOCKED],n/a,n/a,"In GO (Special Research, evolves to Solgaleo/Lunala); shiny Cosmog not released.",No,No,—,Shiny Cosmog/Cosmoem UNAVAILABLE (cannot evolve a shiny backward from Solgaleo/Lunala). Verify if GO ever releases shiny Cosmog.
Cosmoem,VII,Legendary,—,No,No,No,D (shiny unavailable),Sun/Moon/USUM/GO,Sun/Moon/USUM/GO: Evolves from Cosmog [LOCKED],n/a,n/a,In GO (evolution stage); shiny not released.,No,No,—,Shiny UNAVAILABLE for the same reason as Cosmog.
Solgaleo,VII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sun/USUM, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Sun/USUM: From Cosmog / Necrozma fusion [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); n/a (GO has no Shiny Charm),5-star raids — shiny NEW Jul 22 2026 (RNG); ~1/20,No,No,—,Shiny huntable via Dynamax Adventures and (new 2026) GO raids.
Lunala,VII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Moon/USUM, Pokémon GO, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Moon/USUM: From Cosmog / Necrozma fusion [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); n/a (GO has no Shiny Charm),5-star raids — shiny NEW ~Jul 2026 (RNG); ~1/20,No,No,—,Shiny huntable via Dynamax Adventures and (new 2026) GO raids.
Necrozma,VII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sun/Moon/USUM, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable reward) | Sun/Moon/USUM: Story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/300 -> 1/100; applies to boss); n/a (GO has no Shiny Charm),5-star raids (shiny since Aug 2025) — RNG; ~1/20,No,No,Dusk Mane / Dawn Wings (fusions with Solgaleo/Lunala) & Ultra Necrozma — shiny via base Necrozma,Main-series locked; huntable via Dynamax Adventures and GO raids.
Magearna,VII,Mythical,—,No,No,No,D (shiny unavailable),QR distribution / HOME,QR distribution / HOME: Serial / dex reward [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,"No legitimate shiny Magearna. The HOME National-Dex reward is Original-Color Magearna (a form), NOT a shiny. SHINY UNAVAILABLE."
Marshadow,VII,Mythical,—,No,No,No,D (shiny unavailable),Distribution / GO,Distribution / GO: Serial / research [LOCKED],n/a,n/a,In GO (research); shiny NOT released.,No,No,—,No legitimate shiny Marshadow as of Aug 2026. SHINY UNAVAILABLE.
Zeraora,VII,Mythical,—,Yes,No,No,C (event distribution only),"Other distributions / GO, Pokémon HOME (2020)",Pokémon HOME (2020): Raid-milestone Mystery Gift (guaranteed shiny) | Other distributions / GO: Serial / raids [LOCKED],n/a,n/a,In GO (GO Fest 2026); shiny NOT released.,No,Yes,—,"Correction: a legit shiny Zeraora EXISTS via the 2020 Pokémon HOME raid-milestone distribution (guaranteed, event over) — but it is NOT RNG-huntable. Not shiny in GO as of Aug 2026."
Meltan,VII,Mythical,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Pokémon HOME","Pokémon GO: Mystery Box (RNG, timed windows) | Pokémon HOME: Shiny Meltan dex-completion Mystery Gift (guaranteed shiny)",Pokémon GO ~1/125 | Pokémon HOME 100% (guaranteed),n/a,Mystery Box (shiny since Feb 5 2019) — RNG during shiny windows; ~1/125,Yes,No,—,Mythical with a real RNG hunt (Mystery Box). Also a guaranteed HOME dex reward since Feb 2025.
Melmetal,VII,Mythical,—,Yes,Yes,Yes,"A (true hunt, current)",Pokémon GO,Pokémon GO: Evolve a shiny Meltan (400 candy),Pokémon GO ~1/125,n/a,Evolve shiny Meltan (RNG via Mystery Box). ~1/125 at the Meltan step.,No,No,—,"Evolution case: not encountered directly — hunt shiny Meltan, then evolve."
Zacian,VIII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield",Sword/Shield: Story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Pokémon GO ~1/20,n/a (GO has no Shiny Charm),5-star raids (shiny since Sep 2024) — RNG; ~1/20,No,No,Hero of Many Battles & Crowned Sword — shiny carries across the form change,Main-series locked; the RNG hunt is GO raids.
Zamazenta,VIII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield",Sword/Shield: Story static [LOCKED] | Pokémon GO: Legendary 5-star raid (RNG per raid),Pokémon GO ~1/20,n/a (GO has no Shiny Charm),5-star raids (shiny since Oct 2024) — RNG; ~1/20,No,No,Hero of Many Battles & Crowned Shield — shiny carries across the form change,Main-series locked; RNG hunt is GO raids.
Eternatus,VIII,Legendary,—,No,No,No,D (shiny unavailable),Sword/Shield / GO,Sword/Shield / GO: Story static / raids [LOCKED],n/a,n/a,In GO (raids since Aug 2025); shiny NOT released.,No,No,—,No legitimate shiny Eternatus as of Aug 2026. SHINY UNAVAILABLE.
Kubfu,VIII,Legendary,—,No,No,No,D (shiny unavailable),Sword/Shield (Isle of Armor) / GO,Sword/Shield (Isle of Armor) / GO: Gift / research [LOCKED],n/a,n/a,In GO; shiny NOT available.,No,No,—,Classification debated (some group with Legendaries). Shiny UNAVAILABLE.
Urshifu,VIII,Legendary,—,No,No,No,D (shiny unavailable),Sword/Shield (Isle of Armor) / GO,Sword/Shield (Isle of Armor) / GO: Evolves from Kubfu [LOCKED],n/a,n/a,In GO; shiny NOT available.,No,No,Single Strike & Rapid Strike Style — both shiny-locked (from the locked Kubfu),Shiny UNAVAILABLE (only from shiny-locked Kubfu).
Regieleki,VIII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra)",Sword/Shield (Crown Tundra): Split-Decision Ruins static (soft-reset) | Pokémon GO: Legendary 5-star raid (RNG per raid),Sword/Shield (Crown Tundra) 1/4096->1/1365 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365); n/a (GO has no Shiny Charm),5-star raids (shiny since Nov 2024) — RNG; ~1/20,No,No,—,One of only two SwSh-introduced legendaries that can be shiny (with Regidrago). Static soft-reset.
Regidrago,VIII,Legendary,—,Yes,Yes,Yes,"A (true hunt, current)",Sword/Shield (Crown Tundra),Sword/Shield (Crown Tundra): Split-Decision Ruins static (soft-reset),Sword/Shield (Crown Tundra) 1/4096->1/1365,Yes (1/4096 -> 1/1365),In GO; shiny not confirmed released (as of Aug 2026).,No,No,—,Shiny huntable via SwSh Split-Decision Ruins soft-reset. GO shiny status uncertain/unreleased.
Glastrier,VIII,Legendary,—,No,No,No,D (shiny unavailable),Sword/Shield (Crown Tundra) / GO,Sword/Shield (Crown Tundra) / GO: Story static / raids [LOCKED],n/a,n/a,In GO; shiny NOT released.,No,No,—,No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Spectrier,VIII,Legendary,—,No,No,No,D (shiny unavailable),Sword/Shield (Crown Tundra) / GO,Sword/Shield (Crown Tundra) / GO: Story static / raids [LOCKED],n/a,n/a,In GO; shiny NOT released.,No,No,—,No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Calyrex,VIII,Legendary,—,No,No,No,D (shiny unavailable),Sword/Shield (Crown Tundra) / GO,Sword/Shield (Crown Tundra) / GO: Gift / raids [LOCKED],n/a,n/a,In GO; shiny NOT released.,No,No,Ice Rider / Shadow Rider (fusions with Glastrier/Spectrier) — all shiny-unavailable,No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Enamorus,VIII,Legendary,—,No,No,No,D (shiny unavailable),Legends: Arceus / GO,Legends: Arceus / GO: Story static / Elite Raids [LOCKED],n/a,n/a,In GO (Elite Raids); shiny NOT released.,No,No,Incarnate & Therian — both shiny-unavailable as of Aug 2026 (GO shiny not released),Fourth Force of Nature. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Zarude,VIII,Mythical,—,No,No,No,D (shiny unavailable),Distribution / GO,Distribution / GO: Serial / event [LOCKED],n/a,n/a,In GO (non-shiny); shiny NOT released.,No,No,—,No legitimate shiny Zarude anywhere as of Aug 2026. SHINY UNAVAILABLE.
Koraidon,IX,Legendary,—,Yes,No,No,C (event distribution only),"Distribution (GameStop/EB code), Scarlet/Violet",Scarlet/Violet: Story ride legendary [LOCKED] | Distribution (GameStop/EB code): Serial-code gift (guaranteed shiny),n/a,n/a,Not in Pokémon GO.,No,Yes,—,Shiny exists ONLY via the 2025 guaranteed retail-code distribution (Sep 26–Oct 15 2025). Never RNG-huntable.
Miraidon,IX,Legendary,—,Yes,No,No,C (event distribution only),"Distribution (GameStop/EB code), Scarlet/Violet",Scarlet/Violet: Story ride legendary [LOCKED] | Distribution (GameStop/EB code): Serial-code gift (guaranteed shiny),n/a,n/a,Not in Pokémon GO.,No,Yes,—,Shiny exists ONLY via the 2025 guaranteed retail-code distribution (Sep 26–Oct 15 2025). Never RNG-huntable.
Wo-Chien,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet,Scarlet/Violet: Unbound-stakes static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,Treasures of Ruin. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Chien-Pao,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet,Scarlet/Violet: Unbound-stakes static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,Treasures of Ruin. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Ting-Lu,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet,Scarlet/Violet: Unbound-stakes static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,Treasures of Ruin. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Chi-Yu,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet,Scarlet/Violet: Unbound-stakes static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,Treasures of Ruin. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Okidogi,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet (Teal Mask),Scarlet/Violet (Teal Mask): Static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,Loyal Three. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Munkidori,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet (Teal Mask),Scarlet/Violet (Teal Mask): Static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,Loyal Three. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Fezandipiti,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet (Teal Mask),Scarlet/Violet (Teal Mask): Static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,Loyal Three. No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Ogerpon,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet (Teal Mask),Scarlet/Violet (Teal Mask): Gift [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,Teal / Wellspring / Hearthflame / Cornerstone Mask — all shiny-locked,No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Terapagos,IX,Legendary,—,No,No,No,D (shiny unavailable),Scarlet/Violet (Indigo Disk),Scarlet/Violet (Indigo Disk): Story gift [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,Normal / Terastal / Stellar Forme — shiny-locked,No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Pecharunt,IX,Mythical,—,No,No,No,D (shiny unavailable),Scarlet/Violet (Mochi Mayhem),Scarlet/Violet (Mochi Mayhem): Epilogue static [LOCKED],n/a,n/a,Not in Pokémon GO.,No,No,—,No legitimate shiny as of Aug 2026. SHINY UNAVAILABLE.
Nihilego,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Jul 2024); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Buzzwole,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Jul 5 2024); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
Pheromosa,VII,Ultra Beast,—,Yes,Yes,Yes,"A (true hunt, current)","Pokémon GO, Sword/Shield (Crown Tundra), Ultra Sun/Ultra Moon",Ultra Sun/Ultra Moon: Ultra Space Wilds static (soft-reset) | Sword/Shield (Crown Tundra): Dynamax Adventure boss (soft-resettable) | Pokémon GO: Legendary 5-star raid (RNG per raid),Ultra Sun/Ultra Moon 1/4096->1/1365 | Sword/Shield (Crown Tundra) 1/300->1/100 | Pokémon GO ~1/20,Yes (1/4096 -> 1/1365; wormhole DISTANCE does NOT boost legendary odds); Yes (1/300 -> 1/100); n/a (GO has no Shiny Charm),Ultra Beast raids (shiny since Jun 14 2024); ~1/20,No,No,—,"Ultra Beast (own class). Shiny-locked in SM; unlocked in USUM wormholes, Dynamax Adventures, and GO raids."
